순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수
241,103415627,Real MySQL 8.0 (1권),https://www.yes24.com/product/goods/103415627,"백은빈, 이성욱",위키북스,2021년 09월,"27,000","30,000",10%,"3,132"
242,67350256,함께 자라기,https://www.yes24.com/product/goods/67350256,김창준,인사이트(insight),2018년 11월,"11,700","13,000",10%,"2,538"
243,66531799,모두의 파이썬,https://www.yes24.com/product/goods/66531799,이승찬,길벗,2018년 10월,"10,800","12,000",10%,"2,688"
244,61254539,친절한 SQL 튜닝,https://www.yes24.com/product/goods/61254539,조시형,디비안(DBian),2018년 06월,"34,200","38,000",10%,"5,793"
245,59580711,도널드 노먼의 디자인 심리학,https://www.yes24.com/product/goods/59580711,도널드 노먼 저/범어디자인연구소 역,유엑스리뷰,2018년 04월,"31,500","35,000",10%,"1,320"
246,191193818,Do it! 오토캐드 2027 + AI,https://www.yes24.com/product/goods/191193818,박한울,이지스퍼블리싱,2026년 06월,"27,900","31,000",10%,852
247,189335830,게임으로 철학하기,https://www.yes24.com/product/goods/189335830,주자안 저/정세경 역,현암사,2026년 05월,"20,700","23,000",10%,534
248,160153189,일 잘하는 직장인,https://www.yes24.com/product/goods/160153189,"일머리스쿨 (송경이,  유진희)",이지스퍼블리싱,2025년 11월,"16,200","18,000",10%,"1,308"
249,147735087,생성형 AI를 위한 프롬프트 엔지니어링,https://www.yes24.com/product/goods/147735087,"제임스 피닉스, 마이크 테일러 저/정의형, 정한결 역",한빛미디어,2025년 06월,"34,200","38,000",10%,"5,712"
250,193448340,AI와 라이프 아크,https://www.yes24.com/product/goods/193448340,노유진,커뮤니케이션북스,2026년 07월,"12,000","12,000",,330
251,193350963,"그로스 IQ, 비즈니스 성장 바이블",https://www.yes24.com/product/goods/193350963,티파니 보바 저/고현석 역,골든래빗,2026년 07월,"25,200","28,000",10%,180
252,193183459,생성형 AI로 완성하는 회계 · 세무실무,https://www.yes24.com/product/goods/193183459,박현준,도서출판배움,2026년 04월,"10,800","12,000",10%,120
253,192731324,AWS 교과서,https://www.yes24.com/product/goods/192731324,"서종호, 김원일, 김석필",길벗,2026년 07월,"34,200","38,000",10%,516
254,192687429,내 AI 천재로 키우는 법 1,https://www.yes24.com/product/goods/192687429,이태종,이태종NIE논술연구소,2026년 07월,"22,500","25,000",10%,750
255,192579676,AI를 활용한 실내디자인 프레젠테이션 스킬,https://www.yes24.com/product/goods/192579676,박남용,피앤피북,2026년 07월,"20,700","23,000",10%,630
256,192302542,회사에서 바로 통하는 오토캐드 AutoCAD 2027,https://www.yes24.com/product/goods/192302542,심미현,한빛미디어,2026년 06월,"26,100","29,000",10%,390
257,192139754,프롬프트 해부학,https://www.yes24.com/product/goods/192139754,박민지,루비페이퍼,2026년 06월,"25,200","28,000",10%,999
258,191852111,준비 끝 다음 수업 AI 에듀테크,https://www.yes24.com/product/goods/191852111,노희경,비제이퍼블릭(BJ퍼블릭),2026년 06월,"24,750","27,500",10%,999
259,190213684,이것이 멀티 에이전트다,https://www.yes24.com/product/goods/190213684,서지영,한빛미디어,2026년 06월,"31,500","35,000",10%,678
260,189823964,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,https://www.yes24.com/product/goods/189823964,조현정,골든래빗,2026년 06월,"21,600","24,000",10%,"1,584"
261,189759363,트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프,https://www.yes24.com/product/goods/189759363,장철원,한빛미디어,2026년 05월,"35,100","39,000",10%,654
262,189353153,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,https://www.yes24.com/product/goods/189353153,신동현,길벗,2026년 05월,"25,200","28,000",10%,774
263,189287920,프로덕트 디자이너로 살아남기,https://www.yes24.com/product/goods/189287920,강영화,이오스튜디오,2026년 05월,"17,100","19,000",10%,"1,638"
264,188600611,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,https://www.yes24.com/product/goods/188600611,쌩초,골든래빗,2026년 05월,"21,600","24,000",10%,"2,238"
265,188189600,중국 휴머노이드 로봇,https://www.yes24.com/product/goods/188189600,김종문,다빈치books,2026년 05월,"19,800","22,000",10%,870
266,188188392,기계가 언어를 사용한다는 것에 대한 인문학적 사유,https://www.yes24.com/product/goods/188188392,"마크 코켈버그, 데이비드 J.건컬 저/신동숙 역/손화철 감수",생각이음,2026년 04월,"17,100","19,000",10%,"2,925"
267,187572169,LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e,https://www.yes24.com/product/goods/187572169,"벤 아우파스, 레오니드 쿨리긴 저/옥경석, 박규성 역",에이콘출판사,2026년 04월,"36,000","40,000",10%,810
268,186524949,된다! AI 디자인 2026,https://www.yes24.com/product/goods/186524949,김희재,이지스퍼블리싱,2026년 04월,"26,820","29,800",10%,"1,653"
269,184675866,딸깍! 바이브 코딩 by 안티그래비티,https://www.yes24.com/product/goods/184675866,반병현,생능북스,2026년 04월,"22,500","25,000",10%,"3,378"
270,184478218,AI로 만드는 노래와 뮤직비디오,https://www.yes24.com/product/goods/184478218,전진규,시대인,2026년 04월,"12,600","14,000",10%,414
271,183708092,돈이 들어오는 무재고 위탁판매 쇼핑몰,https://www.yes24.com/product/goods/183708092,전진수,혜지원,2026년 03월,"15,300","17,000",10%,"1,398"
272,183572891,AI 시대 엄마가 먼저 알아야 할 최상위 공부법,https://www.yes24.com/product/goods/183572891,"오주연, 김지예, 김현아",한빛비즈,2026년 03월,"19,800","22,000",10%,"1,236"
273,182995232,AI 자율학습 제미나이로 일 잘하는 법,https://www.yes24.com/product/goods/182995232,성구(강성규),길벗,2026년 04월,"23,400","26,000",10%,"3,048"
274,182629754,일머리를 설계하는 AI 워크플로 with n8n,https://www.yes24.com/product/goods/182629754,이왕석,한빛미디어,2026년 03월,"25,200","28,000",10%,"1,644"
275,181117854,된다! AI 상위 노출,https://www.yes24.com/product/goods/181117854,이중대,이지스퍼블리싱,2026년 03월,"17,100","19,000",10%,"4,311"
276,180954314,변화를 기회로 만드는 AI력,https://www.yes24.com/product/goods/180954314,정규진,민음인,2026년 03월,"20,700","23,000",10%,"1,764"
277,177894447,누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,https://www.yes24.com/product/goods/177894447,이성원,한빛미디어,2026년 02월,"17,100","19,000",10%,"4,386"
278,177866994,에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5,https://www.yes24.com/product/goods/177866994,허경용,제이펍,2026년 02월,"27,000","30,000",10%,864
279,177187498,AI 게임 개발 with 코덱스,https://www.yes24.com/product/goods/177187498,정윤지(유리링),한빛미디어,2026년 02월,"28,800","32,000",10%,"2,580"
280,177123635,대체불가능,https://www.yes24.com/product/goods/177123635,파스칼 보넷 저/김정민 역,제이펍,2026년 02월,"19,800","22,000",10%,"1,065"
281,176913080,한 권으로 끝내는 실전 LLM 파인튜닝,https://www.yes24.com/product/goods/176913080,강다솔,위키북스,2026년 02월,"28,800","32,000",10%,"1,314"
282,172517063,누구나 아는 나만 모르는 제미나이,https://www.yes24.com/product/goods/172517063,이성원,한빛미디어,2026년 01월,"17,100","19,000",10%,"13,692"
283,169704757,직장인을 위한 AI 실무 엑셀,https://www.yes24.com/product/goods/169704757,선양미,길벗,2025년 12월,"22,500","25,000",10%,"3,696"
284,168727208,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/168727208,"서영배, 김병규, 임재봉",위키북스,2026년 01월,"25,200","28,000",10%,"2,166"
285,167476779,대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다,https://www.yes24.com/product/goods/167476779,"지미정, 김진관, 윤신영, 박미지, 윤여옥 저 외 10명
                                        
정보 더 보기/감추기



지미정
김진관
윤신영
박미지
윤여옥
김희수
박선정
강원빈
이대형
서지나
서동욱
하나
남궁정
임보라
김하연",앤써북,2026년 01월,"18,000","20,000",10%,"2,688"
286,167465671,AI 버블이 온다,https://www.yes24.com/product/goods/167465671,"아르빈드 나라야난, 사야시 카푸르 저/강미경 역",윌북(willbook),2025년 12월,"22,320","24,800",10%,"9,336"
287,167463337,그로스 해킹 (10주년 기념 증보판),https://www.yes24.com/product/goods/167463337,라이언 홀리데이 저/고영혁 역,길벗,2025년 11월,"19,800","22,000",10%,"3,291"
288,162322988,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,https://www.yes24.com/product/goods/162322988,이호정,리코멘드,2025년 11월,"25,200","28,000",10%,"8,292"
289,153290513,이공계생을 위한 파이썬 필수예제 2,https://www.yes24.com/product/goods/153290513,윤성호,지오북스,2025년 10월,"25,000","25,000",,"1,200"
290,153029475,요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,https://www.yes24.com/product/goods/153029475,박현규,골든래빗,2025년 09월,"21,600","24,000",10%,"14,964"
291,149414736,AI 에이전트 생태계,https://www.yes24.com/product/goods/149414736,조쉬,로드북,2025년 08월,"24,300","27,000",10%,"17,544"
292,149370133,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,https://www.yes24.com/product/goods/149370133,"김경자, 송선영",한빛미디어,2025년 07월,"23,400","26,000",10%,"1,956"
293,149190058,디자인 트렌드 아카이브 포토샵 & 일러스트레이터,https://www.yes24.com/product/goods/149190058,김혜주,제이펍,2025년 07월,"21,600","24,000",10%,"3,216"
294,148124010,시작하세요! 도커/쿠버네티스,https://www.yes24.com/product/goods/148124010,용찬호,위키북스,2025년 07월,"32,400","36,000",10%,"1,890"
295,146874665,테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,https://www.yes24.com/product/goods/146874665,이경록,리코멘드,2025년 05월,"30,600","34,000",10%,"4,236"
296,145572152,디자인 감각 제대로 키우는 법,https://www.yes24.com/product/goods/145572152,가마타 다카시 저/김현미 역,시프트,2025년 05월,"17,100","19,000",10%,"2,340"
297,144253147,된다! 업무에 바로 쓰는 구글 활용법,https://www.yes24.com/product/goods/144253147,이광희,이지스퍼블리싱,2025년 04월,"18,900","21,000",10%,"4,104"
298,142763143,레트로의 유니티 6 게임 프로그래밍 에센스,https://www.yes24.com/product/goods/142763143,이제민,한빛미디어,2025년 02월,"59,400","66,000",10%,"4,098"
299,141787639,밑바닥부터 시작하는 딥러닝 1,https://www.yes24.com/product/goods/141787639,사이토 고키 저/개앞맵시 역,한빛미디어,2025년 01월,"23,400","26,000",10%,"9,006"
300,140242586,선생님을 위한 노션,https://www.yes24.com/product/goods/140242586,임세범,앤써북,2025년 01월,"19,620","21,800",10%,"10,980"
301,139798543,누구나 아는 나만 모르는 엑셀,https://www.yes24.com/product/goods/139798543,이성원,한빛미디어,2024년 11월,"15,300","17,000",10%,"6,270"
302,139734696,혁펜하임의 Easy! 딥러닝,https://www.yes24.com/product/goods/139734696,혁펜하임,북엔드,2024년 11월,"31,500","35,000",10%,"3,240"
303,133873594,아무도 알려 주지 않는 PM 필수 지식,https://www.yes24.com/product/goods/133873594,최선신,영진닷컴,2024년 10월,"19,800","22,000",10%,"1,230"
304,133290567,그림과 실습으로 배우는 깃 & 깃허브 입문,https://www.yes24.com/product/goods/133290567,한재원,위키북스,2024년 09월,"24,300","27,000",10%,792
305,129445293,코파일럿+엑셀 업무자동화 정석,https://www.yes24.com/product/goods/129445293,권현욱,디지털북스,2024년 08월,"19,800","22,000",10%,750
306,128193122,무작정 따라하기 엑셀 파워포인트 워드+한글,https://www.yes24.com/product/goods/128193122,"박미정, 박은진",길벗,2024년 07월,"22,500","25,000",10%,"1,368"
307,128122789,초등부터 중등까지 한 권으로 끝내는 엔트리와 40개의 작품들,https://www.yes24.com/product/goods/128122789,"전진아, 김수연",앤써북,2024년 06월,"15,930","17,700",10%,"1,962"
308,126804246,개발자를 위한 필수 수학,https://www.yes24.com/product/goods/126804246,토머스 닐드 저/박해선 역,한빛미디어,2024년 06월,"27,000","30,000",10%,"3,552"
309,126691841,게임 시나리오 기획자를 위한 안내서,https://www.yes24.com/product/goods/126691841,양정윤,에이콘출판사,2024년 05월,"23,400","26,000",10%,"1,182"
310,126527639,다시 꺼내는 아이패드 Re:드로잉 with 프로크리에이트,https://www.yes24.com/product/goods/126527639,금손햄찌,앤제이BOOKS,2024년 06월,"20,700","23,000",10%,726
311,126332003,권학봉의 포토샵&라이트룸 클래식 사진보정 강의,https://www.yes24.com/product/goods/126332003,권학봉,황금부엉이,2024년 05월,"44,550","49,500",10%,"2,202"
312,126181068,그림으로 이해하는 알고리즘,https://www.yes24.com/product/goods/126181068,"이시다 모리테루, 미야자키 슈이치 저/이동규 역",길벗,2024년 04월,"19,800","22,000",10%,"1,536"
313,125101568,"디자인, 이것만 알면 쉬워져요 with 63가지 LESSON",https://www.yes24.com/product/goods/125101568,"요네쿠라 아키오, 이쿠타 신이치, 아오야나기 치사토 저/최재원 역",책만,2024년 02월,"18,000","20,000",10%,"1,431"
314,121948165,파이썬 생활 프로젝트 코딩,https://www.yes24.com/product/goods/121948165,서승희,길벗,2023년 08월,"16,200","18,000",10%,510
315,119712582,견고한 데이터 엔지니어링,https://www.yes24.com/product/goods/119712582,"조 라이스, 맷 하우슬리 저/김인범 역",한빛미디어,2023년 06월,"34,200","38,000",10%,"1,752"
316,119267145,린 스타트업 (10주년 기념판),https://www.yes24.com/product/goods/119267145,애시 모리아 저/권혜정 역,한빛미디어,2023년 06월,"21,600","24,000",10%,"3,222"
317,116924336,파이썬 코딩 도장,https://www.yes24.com/product/goods/116924336,남재윤,길벗,2023년 01월,"27,000","30,000",10%,"2,196"
318,116777159,C언어 Express,https://www.yes24.com/product/goods/116777159,천인국,생능출판사,2023년 01월,"32,000","32,000",,"7,740"
319,116208355,마인크래프트 서바이벌 핸드북,https://www.yes24.com/product/goods/116208355,Mojang Studio 저/이주안 역,영진닷컴,2022년 12월,"10,800","12,000",10%,"1,002"
320,116208304,마인크래프트 레드스톤 핸드북,https://www.yes24.com/product/goods/116208304,Mojang Studio 저/이주안 역,영진닷컴,2022년 12월,"10,800","12,000",10%,"1,410"
321,113791780,코딩 자율학습 나도코딩의 C 언어 입문,https://www.yes24.com/product/goods/113791780,나도코딩,길벗,2022년 10월,"23,400","26,000",10%,"3,414"
322,112630905,The art of game design (한국어판),https://www.yes24.com/product/goods/112630905,"윤형섭, 한호성",홍릉과학출판사,2022년 09월,"37,050","39,000",5%,"1,302"
323,109651824,훅: 일상을 사로잡는 제품의 비밀,https://www.yes24.com/product/goods/109651824,니르 이얄 저/조자현 역,유엑스리뷰,2022년 05월,"20,700","23,000",10%,"2,148"
324,108748709,코딩 자율학습 HTML + CSS + 자바스크립트,https://www.yes24.com/product/goods/108748709,김기수,길벗,2022년 04월,"24,300","27,000",10%,"5,616"
325,102101600,된다! 사각사각 아이패드 드로잉 with 프로크리에이트,https://www.yes24.com/product/goods/102101600,"레이나, 임예진, 캘리스마인드",이지스퍼블리싱,2021년 06월,"21,600","24,000",10%,336
326,99942893,데이터 과학을 위한 통계,https://www.yes24.com/product/goods/99942893,"피터 브루스, 앤드루 브루스, 피터 게데크 저/이준용 역",한빛미디어,2021년 05월,"30,600","34,000",10%,"1,122"
327,97316714,유니티를 몰라도 만들 수 있는 유니티 2D 게임 제작,https://www.yes24.com/product/goods/97316714,"모리 요시나오 저/김은철, 유세라 역",영진닷컴,2021년 02월,"19,800","22,000",10%,"1,428"
328,96375165,수학대백과사전,https://www.yes24.com/product/goods/96375165,구라모토 다카후미 저/린커넥터 역,동양북스(동양books),2020년 12월,"16,200","18,000",10%,"1,497"
329,92364669,카카오톡 이모티콘 만들기,https://www.yes24.com/product/goods/92364669,소콘소콘 김소희,길벗,2020년 09월,"14,400","16,000",10%,"1,026"
330,91071614,한컴오피스 2020 한글+한셀+한쇼+한워드,https://www.yes24.com/product/goods/91071614,"㈜한글과컴퓨터, 허미현, 부성순",영진닷컴,2020년 07월,"17,100","19,000",10%,"2,568"
331,90611902,STM32CubeIDE를 이용한 STM32 따라하기,https://www.yes24.com/product/goods/90611902,"김남수, 이진형",북랩,2020년 06월,"19,800","22,000",10%,570
332,89308097,최강 브롤러 전략 가이드북,https://www.yes24.com/product/goods/89308097,제이슨 리치,서울문화사,2020년 02월,"14,220","15,800",10%,"1,092"
333,88244509,그림으로 배우는 네트워크 원리,https://www.yes24.com/product/goods/88244509,Gene 저/김성훈 역,영진닷컴,2020년 02월,"14,400","16,000",10%,858
334,76182394,된다! 7일 실무 엑셀,https://www.yes24.com/product/goods/76182394,한정희,이지스퍼블리싱,2019년 07월,"18,000","20,000",10%,"3,582"
335,72227684,모두의 데이터 분석 with 파이썬,https://www.yes24.com/product/goods/72227684,"송석리, 이현아",길벗,2019년 04월,"16,200","18,000",10%,"3,180"
336,11681152,Clean Code 클린 코드,https://www.yes24.com/product/goods/11681152,"로버트 C. 마틴 저/박재호, 이해영 역",인사이트(insight),2013년 12월,"29,700","33,000",10%,"4,617"
337,7921251,린 스타트업,https://www.yes24.com/product/goods/7921251,"에릭 리스 저 / 이창수, 송우일 공역",인사이트(insight),2012년 11월,"16,200","18,000",10%,"6,186"
338,193465618,머신러닝 플랫폼 엔지니어링,https://www.yes24.com/product/goods/193465618,"벤저민 탄 웨이 하오, 샤눕 파드마나반, 바룬 말랴 저/허정준 역",책만,2026년 07월,"31,500","35,000",10%,180
339,192090241,"디자인, 이렇게 하면 되나요? (최신 개정판)",https://www.yes24.com/product/goods/192090241,오자와 하야토 저/구수영 역,제이펍,2026년 06월,"19,620","21,800",10%,288
340,191890082,오렌지3 with 파이썬,https://www.yes24.com/product/goods/191890082,"김현철, 김종혜, 박종화, 임진숙",생능북스,2026년 06월,"28,800","32,000",10%,"1,191"
341,191817076,AI기본법이 뭐길래,https://www.yes24.com/product/goods/191817076,"노신정, 마작가",페스트북,2026년 06월,"15,300","17,000",10%,"1,419"
342,191208982,파이썬의 도구들,https://www.yes24.com/product/goods/191208982,정국진,영진닷컴,2026년 06월,"21,600","24,000",10%,582
343,191018764,AI 생존 지도,https://www.yes24.com/product/goods/191018764,이석현,여림재,2026년 06월,"18,000","20,000",10%,"3,003"
344,190278636,AI 에이전트 개발과 운영 올인원 가이드,https://www.yes24.com/product/goods/190278636,"온다 미노루, 오쓰보 유, 쓰카다 마사키 저/두발타고 역",제이펍,2026년 06월,"29,700","33,000",10%,258
345,190272030,처음 시작하는 바이브 코딩,https://www.yes24.com/product/goods/190272030,"사카이 마리코, KEITO 저/고범석, 이한나 역",영진닷컴,2026년 06월,"18,000","20,000",10%,660
346,190250717,Node.js + NestJS 교과서,https://www.yes24.com/product/goods/190250717,조현영,길벗,2026년 05월,"36,000","40,000",10%,762
347,189857110,취미가 돈이 되는 인스타툰,https://www.yes24.com/product/goods/189857110,이건용,시프트,2026년 06월,"19,800","22,000",10%,"1,734"
348,186921504,AI 에이전트 개발 완벽 입문,https://www.yes24.com/product/goods/186921504,"에디 유, 김대규, 조경아, 김현지",위키북스,2026년 04월,"37,800","42,000",10%,"3,255"
349,145343581,네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,https://www.yes24.com/product/goods/145343581,조영빈,디지털북스,2025년 04월,"18,000","20,000",10%,"3,240"
350,128724816,나의 첫 노션 Notion 마스터북,https://www.yes24.com/product/goods/128724816,이유미,비즈니스북스,2024년 07월,"17,550","19,500",10%,"1,440"
351,96234546,혼자 공부하는 자바스크립트,https://www.yes24.com/product/goods/96234546,윤인성,한빛미디어,2021년 01월,"21,600","24,000",10%,"1,092"
352,193448335,AI 창업 퍼실리테이터,https://www.yes24.com/product/goods/193448335,"박상혁, 이명관",커뮤니케이션북스,2026년 07월,"12,000","12,000",,180
353,193406835,SAP ABAP 이야기 1 - Home 서버 설치 및 ABAP 입문,https://www.yes24.com/product/goods/193406835,김병순,BOOKK(부크크),2026년 07월,"28,000","28,000",,120
354,193188006,무조건 승인되는 이모티콘 & 굿즈 만들기,https://www.yes24.com/product/goods/193188006,백지수,시대인,2026년 07월,"16,200","18,000",10%,120
355,193184516,이공계생을 위한 파이썬 필수예제 3,https://www.yes24.com/product/goods/193184516,윤성호,지오북스,2026년 09월,"29,000","29,000",,120
356,193181823,컴퓨터 왕기초(윈도우 11&인터넷(엣지)&한글 2022&엑셀 2021&파워포인트 2021),https://www.yes24.com/product/goods/193181823,OPIG 교재편찬팀,시대인,2026년 07월,"13,500","15,000",10%,180
357,193181272,고등학생을 위한 실습으로 배우는 데이터 과학,https://www.yes24.com/product/goods/193181272,"윤태현, 나소영",삼양미디어,2026년 07월,"22,500","25,000",10%,480
358,193072395,Physical AI 지능제어 입문,https://www.yes24.com/product/goods/193072395,박연묵,교우,2026년 07월,"20,000","20,000",,162
359,193061800,생성형 AI와 메타버스 그리고 지식재산권,https://www.yes24.com/product/goods/193061800,송은지,커뮤니케이션북스,2026년 07월,"12,000","12,000",,162
360,192676816,처음이야? 파이썬 데이터 모델링&머신러닝,https://www.yes24.com/product/goods/192676816,"윤영빈, 오환, 이용희",영진닷컴,2026년 07월,"22,500","25,000",10%,372
361,192564687,테디노트의 LangGraph 에이전트 비법노트,https://www.yes24.com/product/goods/192564687,"이경록, 김태한, 임한택, 최재훈, 강민석 저 외 1명
                                        
정보 더 보기/감추기



이경록
김태한
임한택
최재훈
강민석
김성연",리코멘드,2026년 07월,"30,600","34,000",10%,666
362,192555244,실전 코딩 테스트 가이드,https://www.yes24.com/product/goods/192555244,"이상도, 쩜튜브 저/김민상 감수",영진닷컴,2026년 06월,"25,200","28,000",10%,267
363,192498898,생성형 AI와 틴커캐드로 완성하는 아두이노 발명 프로젝트,https://www.yes24.com/product/goods/192498898,이은상,BOOKK(부크크),2026년 06월,"19,700","19,700",,162
364,192090524,현직 개발자가 알려주는 Claude Code - 초 보 에 서 전 문 가 되기,https://www.yes24.com/product/goods/192090524,일락,BOOKK(부크크),2026년 06월,"44,100","44,100",,162
365,191533966,블렌더 3D 아트워크 완성 클래스,https://www.yes24.com/product/goods/191533966,장승필,영진닷컴,2026년 06월,"25,200","28,000",10%,636
366,191477503,평범한 일상을 특별하게 남기는 스마트폰 사진 & 보정,https://www.yes24.com/product/goods/191477503,최은영,시대인,2026년 06월,"18,000","20,000",10%,540
367,191005623,에이전틱 AI와 바이브 코딩 AI 개발의 정석 with 언리얼,https://www.yes24.com/product/goods/191005623,"이영호, 이영훈, 탁광욱, 김현진, 나유선 저 외 2명
                                        
정보 더 보기/감추기



이영호
이영훈
탁광욱
김현진
나유선
박현상
배주백",성안당,2026년 06월,"39,900","42,000",5%,408
368,190997764,AI 3D 모델링,https://www.yes24.com/product/goods/190997764,양영민,비엘북스,2026년 06월,"22,500","25,000",10%,"1,212"
369,190823476,퇴근을 앞당기는 AI 업무 활용 루틴,https://www.yes24.com/product/goods/190823476,오언주,시대인,2026년 06월,"17,100","19,000",10%,"1,239"
370,190440092,베테랑 AI 전문교사가 만든 가장 쉬운 패들렛 활용! Padlet(패들렛)으로 무엇이든 만들 수 있다 (교사를 위한 패들렛 수업 활용),https://www.yes24.com/product/goods/190440092,"봉우리, 윤상준, 이호준, 황호연",광문각출판미디어,2026년 05월,"17,000","17,000",,"1,194"
371,190213378,한 권으로 끝내는 AI 자동화,https://www.yes24.com/product/goods/190213378,"최재용, 이요셉, 이신우, 최금선, 박경희 저 외 5명
                                        
정보 더 보기/감추기



최재용
이요셉
이신우
최금선
박경희
유미경
한주은
오영주
정은진
김진수",두온교육(주),2026년 05월,"19,800","22,000",10%,516
372,190211456,기업 AI자동화를 위한 클로드 AI활용,https://www.yes24.com/product/goods/190211456,"최재용, 박경희, 신진주, 임기정 저/권혁용 공저 외 3명
                                        
정보 더 보기/감추기



최재용
박경희
신진주
임기정
권혁용
김진수
최동진
김진선",미디어북,2026년 05월,"20,000","20,000",,450
373,189753516,LLMOps 완벽 가이드,https://www.yes24.com/product/goods/189753516,"아비 아리안 저/박조은, 박주환 역",한빛미디어,2026년 05월,"28,800","32,000",10%,984
374,189663337,바이브코딩으로 진짜 웹 서비스 하나를 끝까지 만든다!,https://www.yes24.com/product/goods/189663337,"이상용, 정동진",앤써북,2026년 05월,"16,920","18,800",10%,552
375,189477317,오픈클로,https://www.yes24.com/product/goods/189477317,오창근,생능북스,2026년 05월,"19,800","22,000",10%,804
376,189379748,"함수형 설계, 객체 지향과 만나다",https://www.yes24.com/product/goods/189379748,로버트 C. 마틴 저/장연호 역,인사이트(insight),2026년 05월,"29,700","33,000",10%,702
377,189360735,"3주 완성 초등 AI 웹툰 With 투닝, 망고툰",https://www.yes24.com/product/goods/189360735,한송이 글,서사원주니어,2026년 05월,"18,000","20,000",10%,"1,398"
378,189257260,모던 데이터 아키텍처 설계와 구현,https://www.yes24.com/product/goods/189257260,"피트하인 스트렝홀트 저/김영기, 김현진 역",책만,2026년 05월,"29,700","33,000",10%,"1,158"
379,189188156,Do it! 바이브 코딩 + 안티그래비티,https://www.yes24.com/product/goods/189188156,조준수,이지스퍼블리싱,2026년 05월,"21,600","24,000",10%,"1,464"
380,188859267,맛있는 디자인 애프터 이펙트 CC 2026,https://www.yes24.com/product/goods/188859267,이수정,한빛미디어,2026년 04월,"24,300","27,000",10%,522
381,188838987,"베테랑 AI 전문가가 만든 가장 쉬운 그록 AI 활용! Grok(그록)으로 무엇이든 만들 수 있다 (AI 비서 · 영상 만들기, 유튜브 수익화)",https://www.yes24.com/product/goods/188838987,"이현, 이민정, 이승현, 이나윤, 김성희",광문각출판미디어,2026년 04월,"19,000","19,000",,"1,044"
382,188823173,요즘 예체능 수업을 위한 에듀테크 활용법 223제,https://www.yes24.com/product/goods/188823173,박래혁,앤써북,2026년 05월,"20,970","23,300",10%,"1,158"
383,187043716,몰입을 설계하는 게임 기획,https://www.yes24.com/product/goods/187043716,쉬웨이훙 저/권유라 역,제이펍,2026년 04월,"25,200","28,000",10%,876
384,186936350,요즘 교실 혁신의 공식 AI·에듀테크 활용법 with 2022 개정 교육과정,https://www.yes24.com/product/goods/186936350,진제헌,앤써북,2026년 05월,"20,970","23,300",10%,"1,458"
385,186675889,구글 AI 제미나이(Gemini) 200% 활용법,https://www.yes24.com/product/goods/186675889,정의,BOOKK(부크크),2026년 04월,"8,800","8,800",,228
386,186524948,그림으로 이해하는 AWS 구조와 기술,https://www.yes24.com/product/goods/186524948,오가사와라 시게타카 저/박광수 역,길벗,2026년 04월,"23,400","26,000",10%,"1,206"
387,185717805,F1 용어집 1211,https://www.yes24.com/product/goods/185717805,윤재수,골든래빗,2026년 04월,"60,000","60,000",,516
388,184402508,AI 프로덕트는 어떻게 만들어지는가,https://www.yes24.com/product/goods/184402508,"류인태, 김예림, 임나정",한빛미디어,2026년 04월,"22,500","25,000",10%,"1,092"
389,184283938,젠스파크 Genspark AI 콘텐츠 공장,https://www.yes24.com/product/goods/184283938,조영빈,디지털북스,2026년 04월,"18,000","20,000",10%,618
390,183756523,앗싸 나도 되네! 오늘부터 바로 써먹는 AI 보험영업 활용법,https://www.yes24.com/product/goods/183756523,조대수,재노북스,2026년 03월,"25,200","28,000",10%,"2,490"
391,183651449,"어쨌든, 에이전틱 코딩",https://www.yes24.com/product/goods/183651449,코다프레스 저/양희은 역,인사이트(insight),2026년 04월,"22,500","25,000",10%,"1,758"
392,183640934,스프링 AI 인 액션,https://www.yes24.com/product/goods/183640934,"크레이그 월즈 저/류광, 307번역랩 역",위키북스,2026년 04월,"28,800","32,000",10%,594
393,182750165,이것이 리눅스다 with Rocky Linux 10,https://www.yes24.com/product/goods/182750165,우재남,한빛미디어,2026년 03월,"36,000","40,000",10%,"1,326"
394,182625671,Logic Pro 로직 프로 12,https://www.yes24.com/product/goods/182625671,최이진,노하우(도서출판),2026년 04월,"29,700","33,000",10%,702
